Team,INT,INT TD,INT Yds,Lng,Year
Dolphins  Dolphins,16,1,186,60T,2016
Raiders  Raiders,16,1,147,40,2016
Rams  Rams,10,0,71,29,2016
Chiefs  Chiefs,18,4,271,55T,2016
Jaguars  Jaguars,7,1,104,35,2016
Colts  Colts,8,0,100,56,2016
Texans  Texans,11,1,132,42T,2016
Titans  Titans,12,0,68,33,2016
Packers  Packers,17,0,209,44,2016
Lions  Lions,10,1,96,39T,2016
Broncos  Broncos,14,3,367,51T,2016
Cowboys  Cowboys,9,0,75,27,2016
Browns  Browns,10,1,146,67,2016
Bengals  Bengals,17,0,138,47,2016
Bears  Bears,8,1,73,25,2016
Panthers  Panthers,17,1,204,37,2016
Bills  Bills,12,1,207,49,2016
Ravens  Ravens,18,0,178,53,2016
Falcons  Falcons,12,3,279,90T,2016
Redskins  Redskins,16,2,194,96T,2017
Buccaneers  Buccaneers,13,1,218,47T,2017
Seahawks  Seahawks,14,3,212,78T,2017
49ers  49ers,10,1,185,50T,2017
Chargers  Chargers,18,2,302,90T,2017
Steelers  Steelers,16,0,184,41,2017
Cardinals  Cardinals,15,1,258,82T,2017
Eagles  Eagles,19,1,278,59,2017
Jets  Jets,11,0,151,48,2017
Giants  Giants,13,2,161,53T,2017
Saints  Saints,20,2,192,33,2017
Patriots  Patriots,12,0,114,39,2017
Vikings  Vikings,14,1,200,36,2017
Dolphins  Dolphins,9,1,99,30T,2017
Raiders  Raiders,5,0,10,8,2017
Rams  Rams,18,3,401,69,2017
Chiefs  Chiefs,16,0,201,62,2017
Jaguars  Jaguars,21,2,294,67,2017
Colts  Colts,13,1,215,44,2017
Texans  Texans,11,2,144,82T,2017
Titans  Titans,12,0,154,33,2017
Packers  Packers,11,1,54,21T,2017
Lions  Lions,19,3,253,37T,2017
Broncos  Broncos,10,2,237,103T,2017
Cowboys  Cowboys,10,1,98,25,2017
Browns  Browns,7,1,97,56T,2017
Bengals  Bengals,11,3,339,101,2017
Bears  Bears,8,2,253,90T,2017
Panthers  Panthers,10,0,78,40,2017
Bills  Bills,18,1,275,63,2017
Ravens  Ravens,22,3,385,63T,2017
Falcons  Falcons,8,0,108,43,2017
Redskins  Redskins,15,0,203,40,2018
Buccaneers  Buccaneers,9,0,97,50,2018
Seahawks  Seahawks,12,1,196,98T,2018
49ers  49ers,2,1,55,32T,2018
Chargers  Chargers,13,1,247,86,2018
Steelers  Steelers,8,2,89,35,2018
Cardinals  Cardinals,7,0,55,25,2018
Eagles  Eagles,10,0,139,29,2018
Jets  Jets,13,3,318,104,2018
Giants  Giants,16,3,191,46,2018
Saints  Saints,12,1,259,78,2018
Patriots  Patriots,18,1,156,84T,2018
Vikings  Vikings,12,1,159,52,2018
Dolphins  Dolphins,21,3,321,54,2018
Raiders  Raiders,14,1,124,36T,2018
Rams  Rams,18,3,290,50T,2018
Chiefs  Chiefs,15,3,280,67,2018
Jaguars  Jaguars,11,2,117,33T,2018
Colts  Colts,15,0,220,47,2018
Texans  Texans,15,3,252,101T,2018
Titans  Titans,11,2,120,56T,2018
Packers  Packers,7,1,100,27,2018
Lions  Lions,7,2,148,67T,2018
Broncos  Broncos,17,2,158,53T,2018
Cowboys  Cowboys,9,0,141,49,2018
Browns  Browns,17,0,100,50,2018
Bengals  Bengals,12,3,222,58T,2018
Bears  Bears,27,5,330,49T,2018
Panthers  Panthers,13,0,86,39,2018
Bills  Bills,16,0,133,37,2018
Ravens  Ravens,12,0,99,33,2018
Falcons  Falcons,15,1,151,41T,2018
Redskins  Redskins,13,0,106,33,2019
Buccaneers  Buccaneers,12,2,201,70T,2019
Seahawks  Seahawks,16,2,161,55T,2019
49ers  49ers,12,3,286,49,2019
Chargers  Chargers,11,0,74,37,2019
Steelers  Steelers,20,1,235,96T,2019
Cardinals  Cardinals,7,0,82,48,2019
Eagles  Eagles,11,1,159,51T,2019
Jets  Jets,12,3,138,61T,2019
Giants  Giants,10,1,171,62,2019
Saints  Saints,13,2,140,55T,2019
Patriots  Patriots,25,3,353,69T,2019
Vikings  Vikings,17,1,95,21,2019
Dolphins  Dolphins,13,1,190,35T,2019
Raiders  Raiders,9,2,214,59,2019
Rams  Rams,13,2,137,32T,2019
Chiefs  Chiefs,16,1,141,46T,2019
Jaguars  Jaguars,10,1,132,35,2019
Colts  Colts,15,1,167,80T,2019
Texans  Texans,12,2,302,86,2019
Titans  Titans,14,1,158,38T,2019
Packers  Packers,17,0,177,39,2019
Lions  Lions,7,0,76,55,2019
Broncos  Broncos,10,0,87,24,2019
Cowboys  Cowboys,7,0,83,29,2019
Browns  Browns,14,1,219,61T,2019
Bengals  Bengals,11,0,181,34,2019
Bears  Bears,10,1,157,59,2019
Panthers  Panthers,14,0,141,37,2019
Bills  Bills,14,0,59,49,2019
Ravens  Ravens,13,2,259,89T,2019
Falcons  Falcons,12,1,130,27T,2019
Football Team  Football Team,16,2,136,76T,2020
Buccaneers  Buccaneers,15,1,171,37,2020
Seahawks  Seahawks,14,0,106,32,2020
49ers  49ers,12,1,123,51,2020
Chargers  Chargers,12,2,217,78T,2020
Steelers  Steelers,18,3,169,37,2020
Cardinals  Cardinals,11,0,129,90,2020
Eagles  Eagles,8,1,101,30T,2020
Jets  Jets,10,1,134,35T,2020
Giants  Giants,11,1,101,46T,2020
Saints  Saints,18,1,196,48,2020
Patriots  Patriots,18,1,162,43T,2020
Vikings  Vikings,15,0,65,16,2020
Dolphins  Dolphins,18,0,146,29,2020
Raiders  Raiders,10,0,156,47,2020
Rams  Rams,14,3,266,84T,2020
Chiefs  Chiefs,16,2,259,50T,2020
Jaguars  Jaguars,12,1,200,53,2020
Colts  Colts,15,4,266,50T,2020
Texans  Texans,3,1,19,19T,2020
Titans  Titans,15,0,189,68,2020
Packers  Packers,11,1,98,24,2020
Lions  Lions,7,0,65,36,2020
Broncos  Broncos,10,0,130,46,2020
Cowboys  Cowboys,10,0,108,43,2020
Browns  Browns,11,2,214,50T,2020
Bengals  Bengals,11,0,84,30,2020
Bears  Bears,10,0,81,33,2020
Panthers  Panthers,7,0,110,66,2020
Bills  Bills,15,2,184,51T,2020
Ravens  Ravens,10,0,78,25,2020
Falcons  Falcons,12,1,204,67T,2020
