Team,Rsh TD,Rec TD,Tot TD,2-PT,Year
Falcons  Falcons,12,21,36,0,2017
Redskins  Redskins,12,16,29,2,2018
Buccaneers  Buccaneers,11,36,49,1,2018
Seahawks  Seahawks,15,35,52,1,2018
49ers  49ers,7,26,35,2,2018
Chargers  Chargers,16,32,51,6,2018
Steelers  Steelers,16,35,54,4,2018
Cardinals  Cardinals,9,15,27,2,2018
Eagles  Eagles,12,29,41,5,2018
Jets  Jets,11,18,34,0,2018
Giants  Giants,13,23,39,4,2018
Saints  Saints,26,33,60,4,2018
Patriots  Patriots,18,29,51,0,2018
Vikings  Vikings,9,30,42,3,2018
Dolphins  Dolphins,7,26,38,1,2018
Raiders  Raiders,9,19,30,1,2018
Rams  Rams,23,32,60,5,2018
Chiefs  Chiefs,16,50,71,1,2018
Jaguars  Jaguars,7,15,25,0,2018
Colts  Colts,13,39,52,4,2018
Texans  Texans,12,26,42,0,2018
Titans  Titans,15,16,34,0,2018
Packers  Packers,14,25,41,3,2018
Lions  Lions,11,22,35,0,2018
Broncos  Broncos,18,19,39,0,2018
Cowboys  Cowboys,13,22,36,2,2018
Browns  Browns,15,29,44,4,2018
Bengals  Bengals,13,27,45,1,2018
Bears  Bears,16,28,50,4,2018
Panthers  Panthers,17,28,46,2,2018
Bills  Bills,15,13,29,1,2018
Ravens  Ravens,19,18,41,1,2018
Falcons  Falcons,11,36,49,2,2018
Redskins  Redskins,9,18,28,1,2019
Buccaneers  Buccaneers,15,33,54,5,2019
Seahawks  Seahawks,15,31,49,1,2019
49ers  49ers,23,28,56,2,2019
Chargers  Chargers,12,24,37,1,2019
Steelers  Steelers,7,18,29,0,2019
Cardinals  Cardinals,18,20,38,3,2019
Eagles  Eagles,16,27,46,4,2019
Jets  Jets,6,19,31,3,2019
Giants  Giants,11,30,44,2,2019
Saints  Saints,12,36,52,0,2019
Patriots  Patriots,17,25,49,2,2019
Vikings  Vikings,19,26,47,1,2019
Dolphins  Dolphins,10,22,34,1,2019
Raiders  Raiders,13,22,37,0,2019
Rams  Rams,20,22,46,1,2019
Chiefs  Chiefs,16,30,50,1,2019
Jaguars  Jaguars,3,24,29,4,2019
Colts  Colts,17,22,42,2,2019
Texans  Texans,17,27,46,1,2019
Titans  Titans,21,29,54,1,2019
Packers  Packers,18,26,44,3,2019
Lions  Lions,7,28,38,0,2019
Broncos  Broncos,11,16,28,1,2019
Cowboys  Cowboys,18,30,49,2,2019
Browns  Browns,15,22,38,1,2019
Bengals  Bengals,9,18,28,2,2019
Bears  Bears,8,20,30,1,2019
Panthers  Panthers,20,17,38,1,2019
Bills  Bills,13,21,35,3,2019
Ravens  Ravens,21,37,64,2,2019
Falcons  Falcons,10,29,42,2,2019
Football Team  Football Team,18,16,37,0,2020
Buccaneers  Buccaneers,16,42,59,0,2020
Seahawks  Seahawks,15,40,55,1,2020
49ers  49ers,19,25,45,1,2020
Chargers  Chargers,12,31,45,2,2020
Steelers  Steelers,12,35,50,2,2020
Cardinals  Cardinals,22,27,49,0,2020
Eagles  Eagles,16,22,42,7,2020
Jets  Jets,9,16,26,1,2020
Giants  Giants,13,12,27,2,2020
Saints  Saints,30,28,59,0,2020
Patriots  Patriots,20,12,36,1,2020
Vikings  Vikings,20,35,55,8,2020
Dolphins  Dolphins,15,24,42,4,2020
Raiders  Raiders,20,28,48,1,2020
Rams  Rams,19,20,43,1,2020
Chiefs  Chiefs,13,40,57,3,2020
Jaguars  Jaguars,9,25,37,3,2020
Colts  Colts,20,24,50,3,2020
Texans  Texans,10,33,44,1,2020
Titans  Titans,26,33,62,4,2020
Packers  Packers,16,48,66,2,2020
Lions  Lions,17,27,45,2,2020
Broncos  Broncos,13,21,35,2,2020
Cowboys  Cowboys,14,25,42,4,2020
Browns  Browns,21,27,50,2,2020
Bengals  Bengals,13,19,33,0,2020
Bears  Bears,12,26,40,2,2020
Panthers  Panthers,19,16,38,1,2020
Bills  Bills,16,40,60,0,2020
Ravens  Ravens,24,27,55,2,2020
Falcons  Falcons,13,27,41,1,2020
